sequence,rank,f_low_hz,f_high_hz,center_hz,delay_s,delay_std_s,mean_coherence,phase_span_rad,bins,slope_rad_per_hz,intercept_rad,delay_us,delay_std_us
2,1,94696.044921875,99975.5859375,97387.79281652016,-1.4563504712416431e-07,0.0002646714274990395,0.8687564868562936,-0.11684049478941105,174,9.150519883009558e-07,18.828001705903905,-0.1456350471241643,264.6714274990395
5,1,97656.25,99975.5859375,98843.72434309997,4.889970534310319e-07,0.00023178255879087608,0.9256389004918614,0.14846036210169,77,-3.0724591013719703e-06,-5.900493389454121,0.4889970534310319,231.78255879087607
8,1,92651.3671875,99975.5859375,96359.3754469233,2.8324219456600304e-07,0.00024125681625331786,0.8853427972024059,-0.03681703895064192,241,-1.779663195270412e-06,6.513434322881971,0.283242194566003,241.25681625331785
8,2,90454.1015625,92590.33203125,91535.93585176014,-5.136613932109234e-07,0.0003218229492725577,0.8299560641749887,-0.10574277904945717,71,3.2274297186882696e-06,6.036817381468816,-0.5136613932109234,321.82294927255765
9,1,92193.603515625,95855.712890625,94036.12777061158,3.1891864547448516e-06,0.00027222859747408123,0.8360065915973715,0.2295322689432311,121,-2.0038249474309006e-05,-23.169249396670946,3.189186454744852,272.22859747408125
9,2,97503.662109375,99975.5859375,98739.77756831188,5.986018705309051e-07,0.0002665174039987372,0.8415840013293608,-3.644741396158224e-05,82,-3.76112647777e-06,-24.692562953404146,0.5986018705309051,266.5174039987372
12,1,96130.37109375,99975.5859375,98097.77437494652,8.267080032021478e-07,0.0002784029533529961,0.8618134228326257,-0.16198481275686305,127,-5.194359579047509e-06,31.99541842669571,0.8267080032021478,278.4029533529961
13,1,96801.7578125,99975.5859375,98417.25472899912,-2.686177326916755e-07,0.00025065441824455596,0.8705443621355676,-0.08580616772793093,105,1.6877749912962292e-06,56.46690825352781,-0.26861773269167555,250.65441824455596
15,1,96923.828125,99975.5859375,98489.45013170615,1.21793832829622e-06,0.0002470757231795157,0.8812073398424783,-0.0698989898930904,101,-7.652532209401677e-06,-168.8093251814934,1.21793832829622,247.0757231795157
16,1,93048.095703125,99975.5859375,96623.14941619713,-7.513968225106562e-07,0.00022390853792034942,0.8928550031301365,0.1133789744258138,228,4.7211654750603825e-06,31.02664664403162,-0.7513968225106562,223.9085379203494
18,1,93597.412109375,99975.5859375,96825.34256785872,-5.158631146807026e-07,0.00019551378697029172,0.9004206598795779,-0.09508684992882266,210,3.2412635426776885e-06,-31.66059878351595,-0.5158631146807026,195.5137869702917
19,1,94024.658203125,99975.5859375,97045.3321582354,-1.1514367230523697e-07,0.00019937830905328305,0.9065042106578015,-0.00571795286786525,196,7.23469030042966e-07,-25.137781382277783,-0.11514367230523696,199.37830905328306
19,2,90698.2421875,93719.482421875,92209.30696552593,-1.855889245814671e-06,0.0002336015509722265,0.8368640952484937,0.014857422649253493,100,1.1660896041055344e-05,-26.155900033146132,-1.855889245814671,233.6015509722265
